,User Story,WHO,Relationship,Entity,WHAT,WHY
0,"As a Data user, I want to process deletions for 12-19-2017 .",Data user ,process,deletions ,process deletions for 12-19-2017,
1,"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.",UI designer ,redesign,Resources page ,redesign the Resources page,it matches the new Broker design styles.
2,"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.",UI designer ,report,Agencies ,report to the Agencies about user testing,they are aware of their contributions to making Broker a better UX.
3,"As a UI designer, I want to move on to the round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.",UI designer ,move,DABS or FABS landing page edits ,move on to the round 2 of DABS or FABS landing page edits,get approvals from leadership.
4,"As a UI designer, I want to move on to the round 2 of Homepage edits, so that I can get approvals from leadership.",UI designer ,move,Homepage edits ,move on to the round 2 of Homepage edits,get approvals from leadership.
5,"As a UI designer, I want to move on to the Help page edits on 3rd round, so that I can get approvals from leadership.",UI designer ,move,Help page edits ,move on to the Help page edits on 3rd round,get approvals from leadership.
6,"As a Developer , I want to log events/activities better, so that I can troubleshoot issues with particular submissions and functions.",developer ,log,events / activities ,log events/activities better,troubleshoot issues with particular submissions and functions.
7,"As a Developer, I want to update the FABS submission page when the publishStatus changes, so that I know when the status of the submission has changed.",developer ,update,FABS submission page ,update the FABS submission page when the publishStatus changes,know when the status of the submission has changed.
8,"As a UI designer,  I want to move on to the round 2 of the Help page edits, so that I can get approvals from leadership.",UI designer ,move,Help page edits ,move on to the round 2 of the Help page edits,get approvals from leadership.
9,"As a Broker user, I want to Upload the error message to have accurate text.",Broker user ,upload,error message ,Upload the error message to have accurate text,
10,"As a Broker user, I want to Validate the uploaded error message to have accurate text.",Broker user ,validate,uploaded error message ,Validate the uploaded error message to have accurate text,
11,"As a Broker user, I want to sync D1 file generation with FPDS data load, so that I don't have to regenerate a file if no data has been updated.",Broker user ,sync,D1 file generation ,sync D1 file generation with FPDS data load,don't have to regenerate a file if no data has been updated.
12,"As a Website user, I want to access published FABS files, so that I can see the new files as they come in.",Website user ,access,published FABS files ,access published FABS files,see the new files as they come in.
13,"As an owner, I want to ensure that the USAspending only send grant records to my system.",owner ,ensure,USAspending ,ensure that the USAspending only send grant records to my system,
14,"As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.",developer ,update,Broker validation rule table ,update the Broker validation rule table to account for the rule updates in DB-2213,
15,"As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.",developer ,add,GTAS window data ,add the GTAS window data to the database,ensure the site is locked down during the GTAS submission period.
16,"As a Developer, I want to cache D Files generation requests, so that duplicate requests do not cause performance issues.",developer ,cache,D Files generation requests ,cache D Files generation requests,duplicate requests do not cause performance issues.
17,"As a Developer, I want to manage D Files generation requests, so that duplicate requests do not cause performance issues.",developer ,manage,D Files generation requests ,manage D Files generation requests,duplicate requests do not cause performance issues.
18,"As a user, I want to access the raw agency's published files from FABS via USAspending.",user ,access,raw agency 's published files ,access the raw agency's published files from FABS via USAspending,
19,"As an Agency user, I want to include huge flexfields count without performance impact.",Agency user ,include,huge flexfields count ,include huge flexfields count without performance impact,
20,"As a Broker user, I want to help create content mockups, so that I can submit my data efficiently.",Broker user ,help,content mockups ,help create content mockups,submit my data efficiently.
21,"As a UI designer, I want to track the Tech Thursday's issues, so that I know what to test and what wants to be fixed.",UI designer ,track,Tech Thursday 's issues ,track the Tech Thursday's issues,know what to test and what wants to be fixed.
22,"As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.",owner ,create,user testing summary ,create a user testing summary from the UI SME,know what UI improvements we will follow through on.
23,"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.",UI designer ,begin,user testing ,begin user testing,validate stakeholder UI improvement requests.
24,"As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.",UI designer ,schedule,user testing ,schedule user testing,give the testers advanced notice to ensure buy-in.
25,"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.",owner ,design,schedule ,design a schedule from the UI SME,know the potential timeline of the UI improvements wanted.
26,"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements wanted.",owner ,design,audit ,design an audit from the UI SME,know the potential scope of the UI improvements wanted.
27,"As a Developer, I want to prevent double publishing FABS submissions after refreshing by users, so that there are no duplicates.",developer ,prevent,double publishing FABS submissions ,prevent double publishing FABS submissions after refreshing by users,there are no duplicates.
28,"As an data user, I want to receive FABS records' updates.",data user ,receive,FABS records ' updates ,receive FABS records' updates,
29,"As a Developer , I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.",developer ,update,FABS sample file ,update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header,
30,"As an agency user, I want to ensure that deleted FSRS records are not included in submissions.",agency user ,ensure,FSRS records ,ensure that deleted FSRS records are not included in submissions,
31,"As a website user, I want to see updated financial assistance data daily.",website user ,see,updated financial assistance data ,see updated financial assistance data daily,
32,"As a user, I want to deactivate the publish button in FABS after I click it while the derivations are happening, so that multiple clicks are not permitted.",user ,deactivate,publish button ,deactivate the publish button in FABS after I click it while the derivations are happening,multiple clicks are not permitted.
33,"As a Developer , I want to certify the attempts to correct or delete non-existent records, so that they don't create new published data.",developer ,certify,attempts ,certify the attempts to correct or delete non-existent records,they don't create new published data.
34,"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.",owner ,reset,environment ,reset the environment to only take Staging MAX permissions,ensure that the FABS testers no longer have access.
35,"As a user, I want to obtain PPoPCode data, so that I can ensure that they are accurate and complete.",user ,obtain,PPoPCode data ,obtain PPoPCode data,ensure that they are accurate and complete.
36,"As a user, I want to obtain PPoPCongressionalDistrict data, so that I can ensure that they are accurate and complete.",user ,obtain,PPoPCongressionalDistrict data ,obtain PPoPCongressionalDistrict data,ensure that they are accurate and complete.
37,"As an agency user, I want to create FABS validation rules, so that zero and blank for non-loan records can be accepted.",agency user ,create,FABS validation rules ,create FABS validation rules,zero and blank for non-loan records can be accepted.
38,"As an Agency user, I want to deploy FABS into production, so that I can submit my Financial Assistance data.",Agency user ,deploy,FABS ,deploy FABS into production,submit my Financial Assistance data.
39,"As a Developer, I want to see the activities triggering the CFDA error code for each case, so that I can clarify it to users.",developer ,see,activities ,see the activities triggering the CFDA error code for each case,clarify it to users.
